"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1583510638297872","0.04861702127659574","6.89716260199119","1","95.0","95.0","95.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15837223789793378","0.04858712054313497","6.696031105636216","1","99.0","99.0","99.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15839337338792517","0.048557258768284574","6.493201962292564","1","99.0","99.0","99.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15841447068021652","0.04852743595204454","6.288672768132571","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15843553015526304","0.04849765209441489","6.082441164171563","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1584565521935199","0.04846790719539561","5.874505512610998","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1584775371754423","0.04843820125498669","5.66486366968256","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1584984854814854","0.048408534273188156","5.453513831503839","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1585193974921044","0.04837890625","5.240454633936279","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1585402735877544","0.04834931718542221","5.025684133284256","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1585611141488907","0.048319767079454776","4.809201062194924","1","127.0","127.0","127.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15858191955596843","0.04829025593209772","4.5910041305555875","1","110.0","110.0","110.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15860269018944276","0.048260783743351056","4.371091941014668","1","110.0","110.0","110.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15862342642976884","0.048231350513214755","4.1494633897334126","1","110.0","110.0","110.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1586441286574019","0.048201956241688826","3.926118002802014","1","110.0","110.0","110.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1586647972527971","0.04817260092877326","3.701054282914271","1","110.0","110.0","110.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15868543259640958","0.04814328457446808","3.4742720199073402","1","110.0","110.0","110.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1587060350686946","0.048114007178773274","3.2457703889426104","1","123.0","123.0","123.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15872660505010727","0.04808476874168882","3.015548953283013","1","123.0","123.0","123.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.1587471429211028","0.048055569263214755","2.7836075828737266","1","123.0","123.0","123.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15876764906213636","0.04802640874335107","2.549945765712575","1","123.0","123.0","123.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15878812385366317","0.04799728718209774","2.3145636921263706","1","78.0","78.0","78.0"
"CURVE 1","0.13010261267440063","63.36204833680308","52.41772231480302","0.15880856767613838","0.04796820457945478","2.077461564662689","1","78.0","78.0","78.0"
