"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14862499999999998","0.23464999999999997","31.529830254571085","-1","75.0","75.0","75.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14864547580480575","0.2346348020792007","30.837470456520304","-1","75.0","75.0","75.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14866588773727415","0.23461967639923093","30.12706002113671","-1","75.0","75.0","75.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14868623601198197","0.23460462195873258","29.398444129858504","-1","75.0","75.0","75.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14870652084350586","0.2345896377563476","28.651471930135298","-1","87.0","87.0","87.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14872674244642256","0.23457472279071806","27.885997620841025","-1","87.0","87.0","87.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14874690103530883","0.2345598760604858","27.101878528471314","-1","87.0","87.0","87.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14876699682474134","0.23454509656429287","26.298976721594055","-1","87.0","87.0","87.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14878703002929686","0.23453038330078124","25.47715943366487","-1","87.0","87.0","87.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14880700086355209","0.2345157352685928","24.63629760397274","-1","113.0","113.0","113.0"
"CURVE 1","0.1306258294386905","52.607380478270265","37.10490269274668","0.14882690954208375","0.23450115146636957","23.77626717728862","-1","113.0","113.0","113.0"
