Curve Name,Curve Length (um),Average Curvature (um-1),Curvature Std (um-1),X-Coordinate (um),Y-Coordinate (um),Point Curvature (um-1),Point Curvature Sign,Red Intensity,Green Intensity,Blue Intensity,,radius in nm,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02164068,0.154027155,139.5881096,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02164933,0.154046843,138.5791224,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021658044,0.154066519,137.5634209,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021666822,0.154086183,136.5412678,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021675665,0.154105834,135.5129246,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021684571,0.154125474,134.4786513,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02169354,0.154145102,133.4387067,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021702574,0.15416472,132.3933465,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02171167,0.154184326,131.3428259,1,126,126,126,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021720829,0.154203923,130.2873969,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021730051,0.154223509,129.2273095,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021739336,0.154243086,128.1628119,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021748682,0.154262653,127.0941504,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021758091,0.154282212,126.0215673,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021767562,0.154301762,124.945304,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021777094,0.154321304,123.8655983,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021786688,0.154340839,122.7826854,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021796343,0.154360365,121.6967981,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021806059,0.154379885,120.608167,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021815836,0.154399398,119.5170181,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021825674,0.154418905,118.4235762,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021835571,0.154438406,117.3280622,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021845529,0.154457901,116.2306936,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021855547,0.15447739,115.1316858,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021865625,0.154496875,114.0312509,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021875762,0.154516355,112.9295969,1,109,109,109,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.021885959,0.154535831,111.8269298,1,109,109,109,,10.42088902,,,,
