SUV,avg_polsby_popper_score,std,SEM,n-values
DOPC,0.9947266162836778,0.0021486989794946825,0.0010743494897473413,4
DPPC,0.9529090705447535,0.01522825810540732,0.00761412905270366,4
DPPC_DPPS,0.9656196600951951,0.01541068826797632,0.008897365019913537,3
DOPC_DOPS,0.9921825600558329,0.003938061768855313,0.0019690308844276566,4
