"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.02135","0.153225","171.39833891458846","1","110.0","110.0","110.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021355895960330957","0.15324549413919447","170.8720156696792","1","110.0","110.0","110.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.0213618649482727","0.1532659611701965","170.32903679331943","1","110.0","110.0","110.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.0213679067492485","0.153286401450634","169.7695903281751","1","110.0","110.0","110.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021374021148681636","0.15330681533813476","169.193869773836","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021380207931995385","0.15332720319032667","168.60207372980366","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021386466884613032","0.15334756536483762","167.99440600284316","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.02139279779195785","0.15336790221929547","167.37107546561606","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.02139920043945312","0.1533882141113281","166.73229538970858","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.02140567461252212","0.15340850139856338","166.0782839153846","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.02141222009658813","0.15342876443862913","165.40926349953526","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021418836677074428","0.15344900358915325","164.72546064219756","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.02142552413940429","0.15346921920776366","164.02710588465186","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021432282269001002","0.15348941165208815","163.31443367228135","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021439110851287836","0.15350958127975461","162.58768182613414","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021446009671688075","0.15352972844839094","161.84709179902535","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021452978515624995","0.15354985351562497","161.09290825102897","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021460017168521875","0.1535699568390846","160.32537869647481","1","115.0","115.0","115.0"
"CURVE 1","0.16480919907753083","95.961102524573","128.16031381926456","0.021467125415801997","0.15359003877639768","159.54475355915628","1","115.0","115.0","115.0"
